id,name,category,brand,sku,priceMin,priceMax,priceRange,material,finish,size,image,imageVerified,availability,status,style,description,popularity,showroomName,showroomLocation,showroomContact,sellerType,sourceUrl,priceSource,isVerifiedSource,sourceNote
p_lavabo_011,Lavabo treo Caesar LF5372,Lavabo,Caesar,LF5372,4590000,4590000,4.590.000đ,Sứ ceramic,Trắng bóng,Theo model,/images/products/placeholder-sanitary.png,FALSE,Cần xác nhận tồn kho,Đặt trước,Minimal,"Chậu rửa/lavabo phù hợp concept phòng tắm căn hộ và showroom. Giá là tham khảo, cần xác nhận tồn kho trước khi báo giá.",88,HITA Home,TP. Hồ Chí Minh,028 8888 6688,Đại lý phân phối,https://caesar.com.vn/vi/san-pham/loai/25/lavabo-treo-tuong,Nguồn giá/model từ website hãng hoặc trang giá tham khảo,TRUE,"Model/giá có nguồn tham khảo; ảnh đang dùng placeholder, cần thay bằng ảnh chính hãng trước khi dùng thương mại."
p_lavabo_012,Lavabo treo Caesar LF5374,Lavabo,Caesar,LF5374,4590000,4590000,4.590.000đ,Sứ ceramic,Trắng bóng,Theo model,/images/products/placeholder-sanitary.png,FALSE,Cần xác nhận tồn kho,Đặt trước,Minimal,"Chậu rửa/lavabo phù hợp concept phòng tắm căn hộ và showroom. Giá là tham khảo, cần xác nhận tồn kho trước khi báo giá.",57,LivLab Partner Showroom,"Mỹ Đình, Hà Nội",024 0000 0000,Showroom đối tác,https://caesar.com.vn/vi/san-pham/loai/25/lavabo-treo-tuong,Nguồn giá/model từ website hãng hoặc trang giá tham khảo,TRUE,"Model/giá có nguồn tham khảo; ảnh đang dùng placeholder, cần thay bằng ảnh chính hãng trước khi dùng thương mại."
p_lavabo_013,Lavabo treo/đặt bàn Caesar LF5384,Lavabo,Caesar,LF5384,6426000,6566000,6.426.000đ – 6.566.000đ,Sứ ceramic,Trắng bóng,Theo model,/images/products/placeholder-sanitary.png,FALSE,Cần xác nhận tồn kho,Đặt trước,Minimal,"Chậu rửa/lavabo phù hợp concept phòng tắm căn hộ và showroom. Giá là tham khảo, cần xác nhận tồn kho trước khi báo giá.",56,Interior Material Hub,"Long Biên, Hà Nội",024 2222 6699,Showroom đối tác,https://caesar.com.vn/Th/san-pham/chi-tiet/2697/lavabo-treo-tuong-lavabo-dat-tren-ban-lf5384,Nguồn giá/model từ website hãng hoặc trang giá tham khảo,TRUE,"Model/giá có nguồn tham khảo; ảnh đang dùng placeholder, cần thay bằng ảnh chính hãng trước khi dùng thương mại."
p_lavabo_014,Chậu rửa mặt TOTO đặt bàn dòng phổ thông,Lavabo,TOTO,TOTO-LAVABO-SAMPLE-001,667000,38870000,667.000đ – 38.870.000đ,Sứ ceramic,Trắng bóng,Theo model,/images/products/placeholder-sanitary.png,FALSE,Cần xác nhận tồn kho,Đặt trước,Minimal,"Chậu rửa/lavabo phù hợp concept phòng tắm căn hộ và showroom. Giá là tham khảo, cần xác nhận tồn kho trước khi báo giá.",75,Hải Linh Showroom,"Hà Đông, Hà Nội",024 3858 6655,Đại lý phân phối,https://vn.toto.com/gia-thiet-bi-ve-sinh-toto/,Nguồn giá/model từ website hãng hoặc trang giá tham khảo,FALSE,"Dữ liệu mẫu phục vụ demo; cần xác minh thủ công model, ảnh và giá trước khi dùng cho báo giá thật."
p_lavabo_015,Chậu rửa mặt TOTO đá cẩm thạch GALALATO tham khảo,Lavabo,TOTO,TOTO-GALALATO-SAMPLE,12000000,38870000,12.000.000đ – 38.870.000đ,Sứ ceramic,Trắng bóng,Theo model,/images/products/placeholder-sanitary.png,FALSE,Cần xác nhận tồn kho,Đặt trước,Minimal,"Chậu rửa/lavabo phù hợp concept phòng tắm căn hộ và showroom. Giá là tham khảo, cần xác nhận tồn kho trước khi báo giá.",80,LivLab Partner Showroom,"Mỹ Đình, Hà Nội",024 0000 0000,Showroom đối tác,https://vn.toto.com/gia-chau-rua-mat/,Nguồn giá/model từ website hãng hoặc trang giá tham khảo,FALSE,"Dữ liệu mẫu phục vụ demo; cần xác minh thủ công model, ảnh và giá trước khi dùng cho báo giá thật."
p_faucet_001,Vòi lavabo INAX nóng lạnh mẫu phổ thông,Vòi lavabo,INAX,INAX-FCT-SAMPLE-001,900000,1800000,900.000đ – 1.800.000đ,Đồng mạ chrome,Chrome,Theo model,/images/products/placeholder-sanitary.png,FALSE,Cần xác nhận tồn kho,Đặt trước,Minimal,Vòi lavabo dùng cho combo phòng tắm; thông số và giá cần xác nhận theo showroom trước khi chốt báo giá.,89,Modern Bath Gallery,"Nam Từ Liêm, Hà Nội",024 3333 8899,Showroom đối tác,https://www.inax.com.vn/vi/san-pham/bathroom-faucet/,Giá tham khảo cần xác minh,FALSE,"Dữ liệu mẫu phục vụ demo; cần xác minh thủ công model, ảnh và giá trước khi dùng cho báo giá thật."
p_faucet_002,Vòi lavabo INAX thân cao tham khảo,Vòi lavabo,INAX,INAX-FCT-SAMPLE-002,1800000,3500000,1.800.000đ – 3.500.000đ,Đồng mạ chrome,Chrome,Theo model,/images/products/placeholder-sanitary.png,FALSE,Cần xác nhận tồn kho,Đặt trước,Modern,Vòi lavabo dùng cho combo phòng tắm; thông số và giá cần xác nhận theo showroom trước khi chốt báo giá.,73,Interior Material Hub,"Long Biên, Hà Nội",024 2222 6699,Showroom đối tác,https://www.inax.com.vn/vi/san-pham/bathroom-faucet/,Giá tham khảo cần xác minh,FALSE,"Dữ liệu mẫu phục vụ demo; cần xác minh thủ công model, ảnh và giá trước khi dùng cho báo giá thật."
p_faucet_003,Vòi lavabo TOTO dòng phổ thông,Vòi lavabo,TOTO,TOTO-FCT-SAMPLE-001,972000,3500000,972.000đ – 3.500.000đ,Đồng mạ chrome,Chrome,Theo model,/images/products/placeholder-sanitary.png,FALSE,Cần xác nhận tồn kho,Đặt trước,Minimal,Vòi lavabo dùng cho combo phòng tắm; thông số và giá cần xác nhận theo showroom trước khi chốt báo giá.,66,HITA Home,TP. Hồ Chí Minh,028 8888 6688,Đại lý phân phối,https://vn.toto.com/gia-voi-chau-rua-mat/,Giá tham khảo cần xác minh,FALSE,"Dữ liệu mẫu phục vụ demo; cần xác minh thủ công model, ảnh và giá trước khi dùng cho báo giá thật."
p_faucet_004,Vòi lavabo TOTO cao cấp tham khảo,Vòi lavabo,TOTO,TOTO-FCT-SAMPLE-002,6500000,20000000,6.500.000đ – 20.000.000đ,Đồng mạ PVD,Nickel xước,Theo model,/images/products/placeholder-sanitary.png,FALSE,Cần xác nhận tồn kho,Đặt trước,Luxury,Vòi lavabo dùng cho combo phòng tắm; thông số và giá cần xác nhận theo showroom trước khi chốt báo giá.,81,LivLab Partner Showroom,"Mỹ Đình, Hà Nội",024 0000 0000,Showroom đối tác,https://vn.toto.com/gia-voi-chau-rua-mat/,Giá tham khảo cần xác minh,FALSE,"Dữ liệu mẫu phục vụ demo; cần xác minh thủ công model, ảnh và giá trước khi dùng cho báo giá thật."
p_faucet_005,Vòi lavabo Caesar chrome cơ bản,Vòi lavabo,Caesar,CAE-FCT-SAMPLE-001,750000,1900000,750.000đ – 1.900.000đ,Đồng mạ chrome,Chrome,Theo model,/images/products/placeholder-sanitary.png,FALSE,Cần xác nhận tồn kho,Đặt trước,Modern,Vòi lavabo dùng cho combo phòng tắm; thông số và giá cần xác nhận theo showroom trước khi chốt báo giá.,86,Modern Bath Gallery,"Nam Từ Liêm, Hà Nội",024 3333 8899,Showroom đối tác,https://caesar.com.vn/Vn/san-pham/loai/2/lavabo,Giá tham khảo cần xác minh,FALSE,"Dữ liệu mẫu phục vụ demo; cần xác minh thủ công model, ảnh và giá trước khi dùng cho báo giá thật."
p_faucet_006,Vòi lavabo Caesar đen mờ tham khảo,Vòi lavabo,Caesar,CAE-FCT-SAMPLE-002,1800000,3500000,1.800.000đ – 3.500.000đ,Đồng mạ sơn tĩnh điện,Đen mờ,Theo model,/images/products/placeholder-sanitary.png,FALSE,Cần xác nhận tồn kho,Đặt trước,Hotel,Vòi lavabo dùng cho combo phòng tắm; thông số và giá cần xác nhận theo showroom trước khi chốt báo giá.,83,HomeBath Studio,"Đống Đa, Hà Nội",024 7777 1122,Showroom đối tác,https://caesar.com.vn/Vn/san-pham/loai/2/lavabo,Giá tham khảo cần xác minh,FALSE,"Dữ liệu mẫu phục vụ demo; cần xác minh thủ công model, ảnh và giá trước khi dùng cho báo giá thật."
p_faucet_007,Vòi lavabo GROHE Eurosmart tham khảo,Vòi lavabo,Grohe,GROHE-EUROSMART-SAMPLE,2800000,5200000,2.800.000đ – 5.200.000đ,Đồng thau,Chrome,Theo model,/images/products/placeholder-sanitary.png,FALSE,Cần xác nhận tồn kho,Đặt trước,Modern,Vòi lavabo dùng cho combo phòng tắm; thông số và giá cần xác nhận theo showroom trước khi chốt báo giá.,68,Hải Linh Showroom,"Hà Đông, Hà Nội",024 3858 6655,Đại lý phân phối,https://www.grohe.vn/,Giá tham khảo cần xác minh,FALSE,"Dữ liệu mẫu phục vụ demo; cần xác minh thủ công model, ảnh và giá trước khi dùng cho báo giá thật."
p_faucet_008,Vòi lavabo GROHE Essence tham khảo,Vòi lavabo,Grohe,GROHE-ESSENCE-SAMPLE,6500000,11000000,6.500.000đ – 11.000.000đ,Đồng thau,Brushed Nickel,Theo model,/images/products/placeholder-sanitary.png,FALSE,Cần xác nhận tồn kho,Đặt trước,Luxury,Vòi lavabo dùng cho combo phòng tắm; thông số và giá cần xác nhận theo showroom trước khi chốt báo giá.,93,Interior Material Hub,"Long Biên, Hà Nội",024 2222 6699,Showroom đối tác,https://www.grohe.vn/,Giá tham khảo cần xác minh,FALSE,"Dữ liệu mẫu phục vụ demo; cần xác minh thủ công model, ảnh và giá trước khi dùng cho báo giá thật."
p_faucet_009,Vòi lavabo Hafele chrome tham khảo,Vòi lavabo,Hafele,HAFELE-FCT-SAMPLE-001,1800000,4500000,1.800.000đ – 4.500.000đ,Đồng mạ chrome,Chrome,Theo model,/images/products/placeholder-sanitary.png,FALSE,Cần xác nhận tồn kho,Đặt trước,Modern,Vòi lavabo dùng cho combo phòng tắm; thông số và giá cần xác nhận theo showroom trước khi chốt báo giá.,84,HomeBath Studio,"Đống Đa, Hà Nội",024 7777 1122,Showroom đối tác,https://hafelehome.com.vn/blogs/tin-tuc/showroom-hafele-nguyen-van-troi-tphcm,Giá tham khảo cần xác minh,FALSE,"Dữ liệu mẫu phục vụ demo; cần xác minh thủ công model, ảnh và giá trước khi dùng cho báo giá thật."
p_faucet_010,Vòi lavabo Hafele đen mờ tham khảo,Vòi lavabo,Hafele,HAFELE-FCT-SAMPLE-002,2800000,6500000,2.800.000đ – 6.500.000đ,Đồng mạ sơn tĩnh điện,Đen mờ,Theo model,/images/products/placeholder-sanitary.png,FALSE,Cần xác nhận tồn kho,Đặt trước,Hotel,Vòi lavabo dùng cho combo phòng tắm; thông số và giá cần xác nhận theo showroom trước khi chốt báo giá.,90,Hải Linh Showroom,"Hà Đông, Hà Nội",024 3858 6655,Đại lý phân phối,https://hafelehome.com.vn/blogs/tin-tuc/showroom-hafele-nguyen-van-troi-tphcm,Giá tham khảo cần xác minh,FALSE,"Dữ liệu mẫu phục vụ demo; cần xác minh thủ công model, ảnh và giá trước khi dùng cho báo giá thật."
p_faucet_011,Vòi lavabo COTTO cơ bản,Vòi lavabo,COTTO,COTTO-FCT-SAMPLE-001,900000,2400000,900.000đ – 2.400.000đ,Đồng mạ chrome,Chrome,Theo model,/images/products/placeholder-sanitary.png,FALSE,Cần xác nhận tồn kho,Đặt trước,Minimal,Vòi lavabo dùng cho combo phòng tắm; thông số và giá cần xác nhận theo showroom trước khi chốt báo giá.,87,Hải Linh Showroom,"Hà Đông, Hà Nội",024 3858 6655,Dữ liệu mẫu,,Giá tham khảo cần xác minh,FALSE,"Dữ liệu mẫu phục vụ demo; cần xác minh thủ công model, ảnh và giá trước khi dùng cho báo giá thật."
p_faucet_012,Vòi lavabo American Standard tham khảo,Vòi lavabo,American Standard,AS-FCT-SAMPLE-001,1500000,4200000,1.500.000đ – 4.200.000đ,Đồng mạ chrome,Chrome,Theo model,/images/products/placeholder-sanitary.png,FALSE,Cần xác nhận tồn kho,Đặt trước,Modern,Vòi lavabo dùng cho combo phòng tắm; thông số và giá cần xác nhận theo showroom trước khi chốt báo giá.,90,LivLab Partner Showroom,"Mỹ Đình, Hà Nội",024 0000 0000,Dữ liệu mẫu,,Giá tham khảo cần xác minh,FALSE,"Dữ liệu mẫu phục vụ demo; cần xác minh thủ công model, ảnh và giá trước khi dùng cho báo giá thật."
p_faucet_013,Vòi lavabo Viglacera tham khảo,Vòi lavabo,Viglacera,VGC-FCT-SAMPLE-001,600000,1700000,600.000đ – 1.700.000đ,Đồng mạ chrome,Chrome,Theo model,/images/products/placeholder-sanitary.png,FALSE,Cần xác nhận tồn kho,Đặt trước,Budget,Vòi lavabo dùng cho combo phòng tắm; thông số và giá cần xác nhận theo showroom trước khi chốt báo giá.,59,Interior Material Hub,"Long Biên, Hà Nội",024 2222 6699,Dữ liệu mẫu,,Giá tham khảo cần xác minh,FALSE,"Dữ liệu mẫu phục vụ demo; cần xác minh thủ công model, ảnh và giá trước khi dùng cho báo giá thật."
p_faucet_014,Vòi lavabo Local Showroom Warm Nickel,Vòi lavabo,Local Showroom,LOCAL-FCT-001,1200000,2800000,1.200.000đ – 2.800.000đ,Đồng thau,Nickel ấm,Theo model,/images/products/placeholder-sanitary.png,FALSE,Cần xác nhận tồn kho,Đặt trước,Warm Neutral,Vòi lavabo dùng cho combo phòng tắm; thông số và giá cần xác nhận theo showroom trước khi chốt báo giá.,56,HomeBath Studio,"Đống Đa, Hà Nội",024 7777 1122,Dữ liệu mẫu,,Giá tham khảo cần xác minh,FALSE,"Dữ liệu mẫu phục vụ demo; cần xác minh thủ công model, ảnh và giá trước khi dùng cho báo giá thật."
p_faucet_015,Vòi lavabo Local Showroom Slim Black,Vòi lavabo,Local Showroom,LOCAL-FCT-002,1500000,3200000,1.500.000đ – 3.200.000đ,Đồng thau,Đen mờ,Theo model,/images/products/placeholder-sanitary.png,FALSE,Cần xác nhận tồn kho,Đặt trước,Japandi,Vòi lavabo dùng cho combo phòng tắm; thông số và giá cần xác nhận theo showroom trước khi chốt báo giá.,78,LivLab Partner Showroom,"Mỹ Đình, Hà Nội",024 0000 0000,Dữ liệu mẫu,,Giá tham khảo cần xác minh,FALSE,"Dữ liệu mẫu phục vụ demo; cần xác minh thủ công model, ảnh và giá trước khi dùng cho báo giá thật."
p_mirror_001,Gương LED phòng tắm Hafele bo tròn tham khảo,Gương,Hafele,HAFELE-MIRROR-SAMPLE-001,2500000,6500000,2.500.000đ – 6.500.000đ,Kính cường lực/tráng bạc,Viền nhôm / LED ấm,600–900 mm,/images/products/placeholder-sanitary.png,FALSE,Cần xác nhận tồn kho,Đặt trước,Hotel,Gương phòng tắm dùng trong concept; giá và model cần xác minh theo showroom/đại lý.,59,Interior Material Hub,"Long Biên, Hà Nội",024 2222 6699,Showroom đối tác,https://hafelehome.com.vn/blogs/tin-tuc/showroom-hafele-nguyen-van-troi-tphcm,Giá tham khảo cần xác minh,FALSE,"Dữ liệu mẫu phục vụ demo; cần xác minh thủ công model, ảnh và giá trước khi dùng cho báo giá thật."
p_mirror_002,Gương LED Hafele chữ nhật tham khảo,Gương,Hafele,HAFELE-MIRROR-SAMPLE-002,2800000,7500000,2.800.000đ – 7.500.000đ,Kính cường lực/tráng bạc,Viền nhôm đen,600–900 mm,/images/products/placeholder-sanitary.png,FALSE,Cần xác nhận tồn kho,Đặt trước,Modern,Gương phòng tắm dùng trong concept; giá và model cần xác minh theo showroom/đại lý.,72,Hải Linh Showroom,"Hà Đông, Hà Nội",024 3858 6655,Đại lý phân phối,https://hafelehome.com.vn/blogs/tin-tuc/showroom-hafele-nguyen-van-troi-tphcm,Giá tham khảo cần xác minh,FALSE,"Dữ liệu mẫu phục vụ demo; cần xác minh thủ công model, ảnh và giá trước khi dùng cho báo giá thật."
p_mirror_003,Gương LED Aura Round,Gương,Local Showroom,LOCAL-MIR-AURA-600,1800000,2800000,1.800.000đ – 2.800.000đ,Kính cường lực/tráng bạc,Viền bạc tự nhiên,600–900 mm,/images/products/placeholder-sanitary.png,FALSE,Cần xác nhận tồn kho,Đặt trước,Minimal,Gương phòng tắm dùng trong concept; giá và model cần xác minh theo showroom/đại lý.,82,HITA Home,TP. Hồ Chí Minh,028 8888 6688,Dữ liệu mẫu,,Giá tham khảo cần xác minh,FALSE,"Dữ liệu mẫu phục vụ demo; cần xác minh thủ công model, ảnh và giá trước khi dùng cho báo giá thật."
p_mirror_004,Gương LED Linea Rectangle,Gương,Local Showroom,LOCAL-MIR-LINEA-800,2200000,3600000,2.200.000đ – 3.600.000đ,Kính cường lực/tráng bạc,Viền đen mờ,600–900 mm,/images/products/placeholder-sanitary.png,FALSE,Cần xác nhận tồn kho,Đặt trước,Modern,Gương phòng tắm dùng trong concept; giá và model cần xác minh theo showroom/đại lý.,68,LivLab Partner Showroom,"Mỹ Đình, Hà Nội",024 0000 0000,Dữ liệu mẫu,,Giá tham khảo cần xác minh,FALSE,"Dữ liệu mẫu phục vụ demo; cần xác minh thủ công model, ảnh và giá trước khi dùng cho báo giá thật."
p_mirror_005,Gương LED chống mờ Euroking tham khảo,Gương,Euroking,EURO-MIR-SAMPLE-001,2900000,6200000,2.900.000đ – 6.200.000đ,Kính cường lực/tráng bạc,LED chống mờ,600–900 mm,/images/products/placeholder-sanitary.png,FALSE,Cần xác nhận tồn kho,Đặt trước,Luxury,Gương phòng tắm dùng trong concept; giá và model cần xác minh theo showroom/đại lý.,86,Interior Material Hub,"Long Biên, Hà Nội",024 2222 6699,Dữ liệu mẫu,,Giá tham khảo cần xác minh,FALSE,"Dữ liệu mẫu phục vụ demo; cần xác minh thủ công model, ảnh và giá trước khi dùng cho báo giá thật."
p_mirror_006,Gương LED phòng tắm Điện Quang tham khảo,Gương,Dien Quang,DQ-MIR-SAMPLE-001,1200000,3000000,1.200.000đ – 3.000.000đ,Kính cường lực/tráng bạc,LED trắng ấm,600–900 mm,/images/products/placeholder-sanitary.png,FALSE,Cần xác nhận tồn kho,Đặt trước,Budget,Gương phòng tắm dùng trong concept; giá và model cần xác minh theo showroom/đại lý.,74,Hải Linh Showroom,"Hà Đông, Hà Nội",024 3858 6655,Dữ liệu mẫu,,Giá tham khảo cần xác minh,FALSE,"Dữ liệu mẫu phục vụ demo; cần xác minh thủ công model, ảnh và giá trước khi dùng cho báo giá thật."
p_mirror_007,Gương LED phòng tắm Rạng Đông tham khảo,Gương,Rang Dong,RD-MIR-SAMPLE-001,900000,2500000,900.000đ – 2.500.000đ,Kính cường lực/tráng bạc,LED trung tính,600–900 mm,/images/products/placeholder-sanitary.png,FALSE,Cần xác nhận tồn kho,Đặt trước,Budget,Gương phòng tắm dùng trong concept; giá và model cần xác minh theo showroom/đại lý.,83,HITA Home,TP. Hồ Chí Minh,028 8888 6688,Dữ liệu mẫu,,Giá tham khảo cần xác minh,FALSE,"Dữ liệu mẫu phục vụ demo; cần xác minh thủ công model, ảnh và giá trước khi dùng cho báo giá thật."
p_mirror_008,Gương phòng tắm American Standard tham khảo,Gương,American Standard,AS-MIR-SAMPLE-001,1800000,4200000,1.800.000đ – 4.200.000đ,Kính cường lực/tráng bạc,Kính tráng bạc,600–900 mm,/images/products/placeholder-sanitary.png,FALSE,Cần xác nhận tồn kho,Đặt trước,Modern,Gương phòng tắm dùng trong concept; giá và model cần xác minh theo showroom/đại lý.,63,Modern Bath Gallery,"Nam Từ Liêm, Hà Nội",024 3333 8899,Dữ liệu mẫu,,Giá tham khảo cần xác minh,FALSE,"Dữ liệu mẫu phục vụ demo; cần xác minh thủ công model, ảnh và giá trước khi dùng cho báo giá thật."
